,Agents,Iterations,Noise size,Items per agent,NecPR exists,NDDPR exists,NDDPR fair,PDDPR exists,PDDPR fair,PosPR exists,PosPR fair,ABCCBA fair,DD
0,2.0,100.0,0.1,5.0,0.19,0.78,0.36,1.0,0.49,1.0,0.49,0.49,0.0
1,2.0,100.0,0.2,5.0,0.31,0.79,0.47,1.0,0.51,1.0,0.51,0.51,0.0
2,2.0,100.0,0.3,5.0,0.21,0.79,0.57,1.0,0.65,1.0,0.65,0.65,0.0
3,2.0,100.0,0.4,5.0,0.23,0.77,0.69,1.0,0.85,1.0,0.85,0.85,0.0
4,2.0,100.0,0.5,5.0,0.2,0.8,0.76,1.0,0.93,1.0,0.93,0.93,0.0
5,2.0,100.0,0.6,5.0,0.3,0.74,0.68,1.0,0.89,1.0,0.89,0.89,0.0
6,2.0,100.0,0.7,5.0,0.43,0.79,0.77,1.0,0.96,1.0,0.96,0.96,0.0
7,2.0,100.0,0.8,5.0,0.47,0.75,0.73,1.0,0.9,1.0,0.9,0.9,0.0
8,2.0,100.0,0.9,5.0,0.47,0.77,0.73,1.0,0.93,1.0,0.93,0.93,0.0
9,2.0,100.0,1.0,5.0,0.57,0.83,0.79,1.0,0.93,1.0,0.93,0.93,0.0
