,iterations,numvotes,phi,numalternatives,consensus,weak consensus,single-peaked
0,1000.0,100.0,0.0,3.0,1000.0,1000.0,1000.0
1,1000.0,100.0,0.05,3.0,89.0,982.0,776.0
2,1000.0,100.0,0.1,3.0,37.0,937.0,376.0
3,1000.0,100.0,0.15,3.0,16.0,921.0,159.0
4,1000.0,100.0,0.2,3.0,14.0,895.0,45.0
5,1000.0,100.0,0.25,3.0,17.0,922.0,4.0
6,1000.0,100.0,0.3,3.0,6.0,911.0,1.0
7,1000.0,100.0,0.4,3.0,5.0,872.0,0.0
8,1000.0,100.0,0.5,3.0,4.0,794.0,0.0
9,1000.0,100.0,0.6,3.0,5.0,596.0,0.0
10,1000.0,100.0,0.7,3.0,5.0,355.0,0.0
11,1000.0,100.0,0.8,3.0,3.0,159.0,0.0
12,1000.0,100.0,0.9,3.0,1.0,70.0,0.0
13,1000.0,100.0,1.0,3.0,3.0,45.0,0.0
14,1000.0,200.0,0.0,3.0,1000.0,1000.0,1000.0
15,1000.0,200.0,0.05,3.0,50.0,986.0,636.0
16,1000.0,200.0,0.1,3.0,16.0,936.0,151.0
17,1000.0,200.0,0.15,3.0,10.0,942.0,18.0
18,1000.0,200.0,0.2,3.0,12.0,960.0,1.0
19,1000.0,200.0,0.25,3.0,4.0,964.0,0.0
20,1000.0,200.0,0.3,3.0,5.0,971.0,0.0
21,1000.0,200.0,0.4,3.0,3.0,970.0,0.0
22,1000.0,200.0,0.5,3.0,3.0,938.0,0.0
23,1000.0,200.0,0.6,3.0,2.0,840.0,0.0
24,1000.0,200.0,0.7,3.0,2.0,565.0,0.0
25,1000.0,200.0,0.8,3.0,0.0,306.0,0.0
26,1000.0,200.0,0.9,3.0,0.0,92.0,0.0
27,1000.0,200.0,1.0,3.0,0.0,45.0,0.0
28,1000.0,300.0,0.0,3.0,1000.0,1000.0,1000.0
29,1000.0,300.0,0.05,3.0,27.0,975.0,480.0
30,1000.0,300.0,0.1,3.0,12.0,970.0,67.0
31,1000.0,300.0,0.15,3.0,2.0,974.0,1.0
32,1000.0,300.0,0.2,3.0,6.0,990.0,0.0
33,1000.0,300.0,0.25,3.0,1.0,987.0,0.0
34,1000.0,300.0,0.3,3.0,2.0,989.0,0.0
35,1000.0,300.0,0.4,3.0,3.0,988.0,0.0
36,1000.0,300.0,0.5,3.0,4.0,978.0,0.0
37,1000.0,300.0,0.6,3.0,4.0,934.0,0.0
38,1000.0,300.0,0.7,3.0,0.0,765.0,0.0
39,1000.0,300.0,0.8,3.0,1.0,380.0,0.0
40,1000.0,300.0,0.9,3.0,0.0,123.0,0.0
41,1000.0,300.0,1.0,3.0,0.0,55.0,0.0
42,1000.0,400.0,0.0,3.0,1000.0,1000.0,1000.0
43,1000.0,400.0,0.05,3.0,19.0,967.0,388.0
44,1000.0,400.0,0.1,3.0,3.0,965.0,36.0
45,1000.0,400.0,0.15,3.0,1.0,989.0,0.0
46,1000.0,400.0,0.2,3.0,7.0,995.0,1.0
47,1000.0,400.0,0.25,3.0,3.0,999.0,0.0
48,1000.0,400.0,0.3,3.0,1.0,995.0,0.0
49,1000.0,400.0,0.4,3.0,2.0,996.0,0.0
50,1000.0,400.0,0.5,3.0,2.0,996.0,0.0
51,1000.0,400.0,0.6,3.0,1.0,955.0,0.0
52,1000.0,400.0,0.7,3.0,0.0,829.0,0.0
53,1000.0,400.0,0.8,3.0,1.0,525.0,0.0
54,1000.0,400.0,0.9,3.0,0.0,153.0,0.0
55,1000.0,400.0,1.0,3.0,0.0,57.0,0.0
56,1000.0,500.0,0.0,3.0,1000.0,1000.0,1000.0
57,1000.0,500.0,0.05,3.0,19.0,966.0,309.0
58,1000.0,500.0,0.1,3.0,3.0,988.0,21.0
59,1000.0,500.0,0.15,3.0,4.0,998.0,0.0
60,1000.0,500.0,0.2,3.0,6.0,997.0,0.0
61,1000.0,500.0,0.25,3.0,2.0,998.0,0.0
62,1000.0,500.0,0.3,3.0,1.0,999.0,0.0
63,1000.0,500.0,0.4,3.0,0.0,997.0,0.0
64,1000.0,500.0,0.5,3.0,0.0,996.0,0.0
65,1000.0,500.0,0.6,3.0,2.0,989.0,0.0
66,1000.0,500.0,0.7,3.0,1.0,921.0,0.0
67,1000.0,500.0,0.8,3.0,1.0,617.0,0.0
68,1000.0,500.0,0.9,3.0,1.0,155.0,0.0
69,1000.0,500.0,1.0,3.0,0.0,50.0,0.0
70,1000.0,600.0,0.0,3.0,1000.0,1000.0,1000.0
71,1000.0,600.0,0.05,3.0,14.0,973.0,253.0
72,1000.0,600.0,0.1,3.0,4.0,989.0,3.0
73,1000.0,600.0,0.15,3.0,3.0,995.0,0.0
74,1000.0,600.0,0.2,3.0,4.0,1000.0,0.0
75,1000.0,600.0,0.25,3.0,1.0,999.0,0.0
76,1000.0,600.0,0.3,3.0,0.0,1000.0,0.0
77,1000.0,600.0,0.4,3.0,2.0,999.0,0.0
78,1000.0,600.0,0.5,3.0,0.0,998.0,0.0
79,1000.0,600.0,0.6,3.0,2.0,994.0,0.0
80,1000.0,600.0,0.7,3.0,1.0,943.0,0.0
81,1000.0,600.0,0.8,3.0,1.0,668.0,0.0
82,1000.0,600.0,0.9,3.0,0.0,184.0,0.0
83,1000.0,600.0,1.0,3.0,0.0,40.0,0.0
84,1000.0,700.0,0.0,3.0,1000.0,1000.0,1000.0
85,1000.0,700.0,0.05,3.0,6.0,974.0,200.0
86,1000.0,700.0,0.1,3.0,5.0,992.0,2.0
87,1000.0,700.0,0.15,3.0,0.0,999.0,0.0
88,1000.0,700.0,0.2,3.0,5.0,1000.0,0.0
89,1000.0,700.0,0.25,3.0,3.0,1000.0,0.0
90,1000.0,700.0,0.3,3.0,1.0,1000.0,0.0
91,1000.0,700.0,0.4,3.0,1.0,1000.0,0.0
92,1000.0,700.0,0.5,3.0,0.0,1000.0,0.0
93,1000.0,700.0,0.6,3.0,0.0,993.0,0.0
94,1000.0,700.0,0.7,3.0,0.0,958.0,0.0
95,1000.0,700.0,0.8,3.0,1.0,725.0,0.0
96,1000.0,700.0,0.9,3.0,0.0,205.0,0.0
97,1000.0,700.0,1.0,3.0,0.0,32.0,0.0
98,1000.0,800.0,0.0,3.0,1000.0,1000.0,1000.0
99,1000.0,800.0,0.05,3.0,6.0,972.0,136.0
100,1000.0,800.0,0.1,3.0,2.0,994.0,0.0
101,1000.0,800.0,0.15,3.0,3.0,997.0,0.0
102,1000.0,800.0,0.2,3.0,2.0,1000.0,0.0
103,1000.0,800.0,0.25,3.0,0.0,1000.0,0.0
104,1000.0,800.0,0.3,3.0,2.0,1000.0,0.0
105,1000.0,800.0,0.4,3.0,0.0,1000.0,0.0
106,1000.0,800.0,0.5,3.0,1.0,1000.0,0.0
107,1000.0,800.0,0.6,3.0,1.0,998.0,0.0
108,1000.0,800.0,0.7,3.0,1.0,972.0,0.0
109,1000.0,800.0,0.8,3.0,1.0,799.0,0.0
110,1000.0,800.0,0.9,3.0,2.0,267.0,0.0
111,1000.0,800.0,1.0,3.0,2.0,44.0,0.0
112,1000.0,900.0,0.0,3.0,1000.0,1000.0,1000.0
113,1000.0,900.0,0.05,3.0,12.0,972.0,134.0
114,1000.0,900.0,0.1,3.0,1.0,996.0,0.0
115,1000.0,900.0,0.15,3.0,0.0,1000.0,0.0
116,1000.0,900.0,0.2,3.0,1.0,1000.0,0.0
117,1000.0,900.0,0.25,3.0,0.0,1000.0,0.0
118,1000.0,900.0,0.3,3.0,0.0,1000.0,0.0
119,1000.0,900.0,0.4,3.0,1.0,1000.0,0.0
120,1000.0,900.0,0.5,3.0,0.0,1000.0,0.0
121,1000.0,900.0,0.6,3.0,1.0,999.0,0.0
122,1000.0,900.0,0.7,3.0,0.0,991.0,0.0
123,1000.0,900.0,0.8,3.0,1.0,801.0,0.0
124,1000.0,900.0,0.9,3.0,0.0,293.0,0.0
125,1000.0,900.0,1.0,3.0,0.0,34.0,0.0
126,1000.0,1000.0,0.0,3.0,1000.0,1000.0,1000.0
127,1000.0,1000.0,0.05,3.0,9.0,977.0,94.0
128,1000.0,1000.0,0.1,3.0,1.0,996.0,0.0
129,1000.0,1000.0,0.15,3.0,1.0,999.0,0.0
130,1000.0,1000.0,0.2,3.0,1.0,1000.0,0.0
131,1000.0,1000.0,0.25,3.0,1.0,1000.0,0.0
132,1000.0,1000.0,0.3,3.0,0.0,1000.0,0.0
133,1000.0,1000.0,0.4,3.0,2.0,1000.0,0.0
134,1000.0,1000.0,0.5,3.0,2.0,1000.0,0.0
135,1000.0,1000.0,0.6,3.0,2.0,1000.0,0.0
136,1000.0,1000.0,0.7,3.0,0.0,989.0,0.0
137,1000.0,1000.0,0.8,3.0,1.0,863.0,0.0
138,1000.0,1000.0,0.9,3.0,0.0,320.0,0.0
139,1000.0,1000.0,1.0,3.0,1.0,43.0,0.0
140,1000.0,100.0,0.0,4.0,1000.0,1000.0,1000.0
141,1000.0,100.0,0.05,4.0,10.0,892.0,110.0
142,1000.0,100.0,0.1,4.0,0.0,620.0,44.0
143,1000.0,100.0,0.15,4.0,0.0,350.0,2.0
144,1000.0,100.0,0.2,4.0,0.0,251.0,0.0
145,1000.0,100.0,0.25,4.0,0.0,149.0,0.0
146,1000.0,100.0,0.3,4.0,0.0,49.0,0.0
147,1000.0,100.0,0.4,4.0,0.0,12.0,0.0
148,1000.0,100.0,0.5,4.0,0.0,2.0,0.0
149,1000.0,100.0,0.6,4.0,0.0,0.0,0.0
150,1000.0,100.0,0.7,4.0,0.0,0.0,0.0
151,1000.0,100.0,0.8,4.0,0.0,0.0,0.0
152,1000.0,100.0,0.9,4.0,0.0,0.0,0.0
153,1000.0,100.0,1.0,4.0,0.0,0.0,0.0
154,1000.0,200.0,0.0,4.0,1000.0,1000.0,1000.0
155,1000.0,200.0,0.05,4.0,0.0,872.0,91.0
156,1000.0,200.0,0.1,4.0,0.0,507.0,4.0
157,1000.0,200.0,0.15,4.0,0.0,400.0,0.0
158,1000.0,200.0,0.2,4.0,0.0,244.0,0.0
159,1000.0,200.0,0.25,4.0,0.0,151.0,0.0
160,1000.0,200.0,0.3,4.0,0.0,85.0,0.0
161,1000.0,200.0,0.4,4.0,0.0,25.0,0.0
162,1000.0,200.0,0.5,4.0,0.0,5.0,0.0
163,1000.0,200.0,0.6,4.0,0.0,1.0,0.0
164,1000.0,200.0,0.7,4.0,0.0,0.0,0.0
165,1000.0,200.0,0.8,4.0,0.0,0.0,0.0
166,1000.0,200.0,0.9,4.0,0.0,0.0,0.0
167,1000.0,200.0,1.0,4.0,0.0,0.0,0.0
168,1000.0,300.0,0.0,4.0,1000.0,1000.0,1000.0
169,1000.0,300.0,0.05,4.0,0.0,825.0,68.0
170,1000.0,300.0,0.1,4.0,0.0,558.0,0.0
171,1000.0,300.0,0.15,4.0,0.0,453.0,0.0
172,1000.0,300.0,0.2,4.0,0.0,244.0,0.0
173,1000.0,300.0,0.25,4.0,0.0,175.0,0.0
174,1000.0,300.0,0.3,4.0,0.0,102.0,0.0
175,1000.0,300.0,0.4,4.0,0.0,55.0,0.0
176,1000.0,300.0,0.5,4.0,0.0,14.0,0.0
177,1000.0,300.0,0.6,4.0,0.0,2.0,0.0
178,1000.0,300.0,0.7,4.0,0.0,0.0,0.0
179,1000.0,300.0,0.8,4.0,0.0,0.0,0.0
180,1000.0,300.0,0.9,4.0,0.0,0.0,0.0
181,1000.0,300.0,1.0,4.0,0.0,0.0,0.0
